"","V0","","","",""
"subtype","subtype","A/H1N1","A/H2N2","A/H3N2","naive"
"1918","1918","1.000000e+00","0.000000e+00","0.000000e+00","2.220446e-16"
"1919","1919","1","0","0","0"
"1920","1920","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1921","1921","1.000000e+00","0.000000e+00","0.000000e+00","2.220446e-16"
"1922","1922","1.000000e+00","0.000000e+00","0.000000e+00","2.220446e-16"
"1923","1923"," 1.000000e+00"," 0.000000e+00"," 0.000000e+00","-2.220446e-16"
"1924","1924","1","0","0","0"
"1925","1925","1","0","0","0"
"1926","1926","1","0","0","0"
"1927","1927","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1928","1928","1.000000e+00","0.000000e+00","0.000000e+00","3.330669e-16"
"1929","1929","1","0","0","0"
"1930","1930","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1931","1931","1","0","0","0"
"1932","1932","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1933","1933","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1934","1934","1.000000e+00","0.000000e+00","0.000000e+00","2.220446e-16"
"1935","1935","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1936","1936","1","0","0","0"
"1937","1937","1.000000e+00","0.000000e+00","0.000000e+00","1.110223e-16"
"1938","1938"," 1.000000e+00"," 0.000000e+00"," 0.000000e+00","-2.220446e-16"
"1939","1939","1","0","0","0"
"1940","1940","1","0","0","0"
"1941","1941"," 1.000000e+00"," 0.000000e+00"," 0.000000e+00","-2.220446e-16"
"1942","1942"," 1.000000e+00"," 0.000000e+00"," 0.000000e+00","-2.220446e-16"
"1943","1943","1","0","0","0"
"1944","1944"," 1.000000e+00"," 0.000000e+00"," 0.000000e+00","-2.220446e-16"
"1945","1945","0.990320237","0.009679763","0.000000000","0.000000000"
"1946","1946","0.98230671","0.01769329","0.00000000","0.00000000"
"1947","1947","0.97319285","0.02680715","0.00000000","0.00000000"
"1948","1948"," 9.521588e-01"," 4.784115e-02"," 0.000000e+00","-2.220446e-16"
"1949","1949","0.93184845","0.06815155","0.00000000","0.00000000"
"1950","1950","0.90363956","0.09636044","0.00000000","0.00000000"
"1951","1951","0.8633484","0.1366516","0.0000000","0.0000000"
"1952","1952","0.8090031","0.1909969","0.0000000","0.0000000"
"1953","1953"," 7.330112e-01"," 2.669888e-01"," 0.000000e+00","-2.220446e-16"
"1954","1954","0.6282178","0.3717822","0.0000000","0.0000000"
"1955","1955","0.4827263","0.5172737","0.0000000","0.0000000"
"1956","1956","0.280595515","0.718283889","0.001120596","0.000000000"
"1957","1957","0.000000e+00","9.969937e-01","3.006314e-03","1.110223e-16"
"1958","1958","0.000000e+00","9.916297e-01","8.370324e-03","1.110223e-16"
"1959","1959","0.00000000","0.98414656","0.01585344","0.00000000"
"1960","1960","0.000000e+00","9.763632e-01","2.363678e-02","2.220446e-16"
"1961","1961","0.00000000","0.94853469","0.05146531","0.00000000"
"1962","1962","0.000000e+00","9.274551e-01","7.254493e-02","1.110223e-16"
"1963","1963","0.0000000","0.8980302","0.1019698","0.0000000"
"1964","1964","0.0000000","0.7978632","0.2021368","0.0000000"
